,coordinates
396,"[51.5279673, -0.0799627]"
397,"[51.5310217, -0.0821496]"
398,"[51.5321446, -0.0949536]"
399,"[51.5401801, -0.08634960000000001]"
400,"[51.5478509, -0.09420379999999999]"
401,"[51.5478509, -0.09420379999999999]"
402,"[51.5460944, -0.08276399999999999]"
403,"[51.5377389, -0.0886877]"
404,"[51.5337299, -0.07991619999999999]"
405,"[51.5405521, -0.1063382]"
406,"[51.5348528, -0.1018213]"
407,"[51.541016, -0.1017321]"
408,"[51.5435999, -0.1100175]"
409,"[51.5336019, -0.1018329]"
410,"[51.5284904, -0.0884486]"
411,"[51.5316133, -0.09274489999999999]"
412,"[51.5463842, -0.0774566]"
413,"[51.5428806, -0.0951593]"
414,"[51.5355923, -0.0893318]"
415,"[51.5387935, -0.1168818]"
416,"[51.53574949999999, -0.0968405]"
417,"[51.5406675, -0.1179554]"
418,"[51.5377744, -0.09140029999999999]"
419,"[51.54327360000001, -0.094411]"
420,"[51.5452501, -0.100022]"
421,"[51.5369706, -0.0992556]"
422,"[51.534812, -0.09912399999999999]"
423,"[51.53578419999999, -0.07923319999999999]"
424,"[51.5345196, -0.097393]"
425,"[51.5435366, -0.0817936]"
426,"[51.5431809, -0.0895608]"
427,"[51.5478314, -0.0851721]"
428,"[51.53104, -0.08749799999999999]"
429,"[51.535625, -0.0887279]"
430,"[51.5448757, -0.08386679999999999]"
431,"[51.53104, -0.08749799999999999]"
432,"[51.5461901, -0.0826263]"
433,"[51.5294283, -0.0890682]"
434,"[51.5305727, -0.0810412]"
435,"[51.5465671, -0.0835336]"
436,"[51.5311803, -0.0924657]"
437,"[51.539904, -0.07748719999999999]"
438,"[51.5399903, -0.0806469]"
439,"[51.644636, -0.05441319999999999]"
440,"[51.5371339, -0.1192519]"
441,"[51.535625, -0.0887279]"
442,"[51.535625, -0.0887279]"
443,"[51.54229249999999, -0.079375]"
444,"[51.5393191, -0.1115447]"
445,"[51.5445792, -0.1071328]"
446,"[51.5455822, -0.079284]"
447,"[51.5439407, -0.085951]"
